"id","chapter","complete_name","name","question"
"cybersecurity_clause_123_cff6204e","Contexto de la organización"," Comprensión de la organización y su contexto","4.1","¿Ha identificado las cuestiones internas y externas que afectan al SGSI?"
"cybersecurity_clause_124_af2443a4","Contexto de la organización","Comprensión de las necesidades y expectativas de las partes interesadas","4.2","¿Ha identificado las partes interesadas y sus requisitos?"
"cybersecurity_clause_125_02395ff7","Contexto de la organización","Determinación del alcance del SGSI","4.3","¿Ha definido el alcance del SGSI?"
"cybersecurity_clause_126_08af1a91","Contexto de la organización","Sistema de gestión de seguridad de la información","4.4","¿Tiene implementado un Sistema de Gestión de Seguridad de la Información?"
"cybersecurity_clause_127_ec3d1e8d","Liderazgo","Liderazgo y compromiso","5.1","¿La alta dirección demuestra su compromiso con el SGSI?"
"cybersecurity_clause_128_a3b36694","Liderazgo","Política de seguridad de la información","5.2","¿Cuenta con una política de seguridad de la información vigente y comunicada?"
"cybersecurity_clause_129_2f5abd1d","Liderazgo","Roles, responsabilidades y autoridades","5.3","¿Tiene definidas las responsabilidades y autoridades del SGSI?"
"cybersecurity_clause_130_3831005a","Planificación","Acciones para tratar riesgos y oportunidades","6.1","¿Gestiona los riesgos y oportunidades del SGSI?"
"cybersecurity_clause_131_7de76019","Planificación","Objetivos de seguridad de la información y planificación para lograrlos","6.2","¿Ha establecido objetivos de seguridad de la información?"
"cybersecurity_clause_133_57550522","Apoyo","Recurso","7.1","¿Cuenta con los recursos necesarios para el SGSI?"
"cybersecurity_clause_134_0fdb0e5a","Apoyo","Competencia","7.2","¿El personal cuenta con las competencias necesarias para sus funciones?"
"cybersecurity_clause_135_73f5f9d2","Apoyo","Toma de Conciencia y formación ","7.3","¿El personal recibe capacitación, conoce sus responsabilidades en seguridad de la información y las implicaciones de no cumplir los requisitos del SGSI?"
"cybersecurity_clause_136_86cd5226","Apoyo","Comunicación","7.4","¿Gestiona las comunicaciones relacionadas con el SGSI?"
"cybersecurity_clause_137_b1d9ed7f","Apoyo","Informacion Documentada","7.5","¿Mantiene controlada la información documentada del SGSI?"
"cybersecurity_clause_140_9dfe8373","Operación","Planificación y control operacional","8.1","¿Planifica, implemente y controla las operaciones del SGSI?"
"cybersecurity_clause_141_18b81015","Operación","Análisis de riesgos de seguridad de la información","8.2","¿Realiza periódicamente el análisis de riesgos?"
"cybersecurity_clause_142_56a0db9b","Operación","Tratamiento de riesgos","8.3","¿Verifica que los controles para tratar los riesgos sean eficaces?"
"cybersecurity_clause_147_661374fd","Evaluación del desempeño","Seguimiento, medición, análisis y evaluación","9.1","¿Realiza el seguimiento y la medición del desempeño y eficacia del SGSI?"
"cybersecurity_clause_148_ed19016b","Evaluación del desempeño","Auditoría interna","9.2","¿Realiza auditorías internas del SGSI?"
"cybersecurity_clause_149_e35738b1","Evaluación del desempeño","Revisión por la dirección","9.3","¿La alta dirección revisa periódicamente el SGSI?"
"cybersecurity_clause_151_87db943c","Mejora","No conformidades y acciones correctivas","10.1","¿Promueve la mejora continua del SGSI?"
"cybersecurity_clause_153_8057cd51","Mejora","Mejora continua","10.2","¿Gestiona las no conformidades mediante acciones correctivas?"
