"id","chapter","clause_id/id","complete_name","info","name","position_excel"
"cybersecurity_requirement_907_df709f9c","4_context","cybersecurity_clause_123_cff6204e","Determinar los objetivos del Sistema de Gestión de Seguridad de la Información (SGSI).","","4.1.1","A15"
"cybersecurity_requirement_908_bdec52b5","4_context","cybersecurity_clause_123_cff6204e","Determinar las cuestiones internas y externas relacionadas con la seguridad de la información.","","4.1.2","A16"
"cybersecurity_requirement_909_bdec52b5","4_context","cybersecurity_clause_123_cff6204e","Determinar cómo las cuestiones internas y externas pueden generar riesgos o amenazas para la seguridad de la información.","","4.1.3","A17"
"cybersecurity_requirement_909_3d35670f","4_context","cybersecurity_clause_124_af2443a4","Determinar las partes interesadas pertinentes al SGSI.","","4.2.1","A20"
"cybersecurity_requirement_910_36546791","4_context","cybersecurity_clause_124_af2443a4","Determinar los requisitos de seguridad de la información de las partes interesadas.","","4.2.2","A21"
"cybersecurity_requirement_911_81c33cff","4_context","cybersecurity_clause_124_af2443a4","Determinar los requisitos legales, reglamentarios y contractuales aplicables a la seguridad de la información.","","4.2.3","A22"
"cybersecurity_requirement_912_e311b92d","4_context","cybersecurity_clause_125_02395ff7","Determinar los límites y la aplicabilidad del SGSI para establecer su alcance.","","4.3.1","A25"
"cybersecurity_requirement_913_8c4c52c6","4_context","cybersecurity_clause_125_02395ff7","Mantener el alcance del SGSI como información documentada.","","4.3.2","A26"
"cybersecurity_requirement_917_52b3ae1a","4_context","cybersecurity_clause_126_08af1a91","Establecer, implementar, mantener y mejorar continuamente el SGSI.","","4.4.1","A29"
"cybersecurity_requirement_918_990eb2bf","4_context","cybersecurity_clause_126_08af1a91","Asegurar la revisión planificada del SGSI considerando oportunidades de mejora.","","4.4.2","A30"
"cybersecurity_requirement_929_3435ac12","5_leadership","cybersecurity_clause_127_ec3d1e8d","Asegurar que los objetivos del SGSI sean coherentes con los objetivos del negocio.","","5.1.1","A34"
"cybersecurity_requirement_930_529c1970","5_leadership","cybersecurity_clause_127_ec3d1e8d","Proporcionar los recursos necesarios para el funcionamiento eficaz del SGSI.","","5.1.2","A35"
"cybersecurity_requirement_931_455e971f","5_leadership","cybersecurity_clause_127_ec3d1e8d","Revisar la eficacia del SGSI de forma planificada.","","5.1.3","A36"
"cybersecurity_requirement_944_7efe7882","5_leadership","cybersecurity_clause_128_a3b36694","Establecer una política de seguridad de la información.","","5.2.1","A39"
"cybersecurity_requirement_945_218576f8","5_leadership","cybersecurity_clause_128_a3b36694","Proporcionar un marco para el establecimiento de objetivos del SGSI.","","5.2.2","A40"
"cybersecurity_requirement_946_d9ab2e25","5_leadership","cybersecurity_clause_128_a3b36694","Comunicar la política a las partes interesadas pertinentes.","","5.2.3","A41"
"cybersecurity_requirement_947_0816f278","5_leadership","cybersecurity_clause_128_a3b36694","Mantener la política como información documentada.","","5.2.4","A42"
"cybersecurity_requirement_952_95c25113","5_leadership","cybersecurity_clause_129_2f5abd1d","Asignar responsabilidades y autoridades relacionadas con la seguridad de la información.","","5.3.1","A45"
"cybersecurity_requirement_953_f9a14c96","5_leadership","cybersecurity_clause_129_2f5abd1d","Comunicar dichas responsabilidades dentro de la organización.","","5.3.2","A46"
"cybersecurity_requirement_958_c9119d2f","6_planning","cybersecurity_clause_130_3831005a","Considerar las expectativas de las partes interesadas en la gestión de riesgos.","","6.1.1","A50"
"cybersecurity_requirement_959_dd3f1637","6_planning","cybersecurity_clause_130_3831005a","Establecer un método para identificar, analizar y evaluar riesgos de seguridad de la información.","","6.1.2","A51"
"cybersecurity_requirement_960_b3b780a3","6_planning","cybersecurity_clause_130_3831005a","Definir un proceso para el tratamiento de riesgos.","","6.1.3","A52"
"cybersecurity_requirement_961_05447b96","6_planning","cybersecurity_clause_130_3831005a","Establecer criterios para la elaboración de la declaración de aplicabilidad (SoA).","","6.1.4","A53"
"cybersecurity_requirement_962_571e4d69","6_planning","cybersecurity_clause_130_3831005a","Mantener información documentada de la gestión de riesgos.","","6.1.5","A54"
"cybersecurity_requirement_966_2b3d7ebe","6_planning","cybersecurity_clause_131_7de76019","Establecer objetivos del SGSI coherentes con el negocio.","","6.2.1","A57"
"cybersecurity_requirement_967_6d931b01","6_planning","cybersecurity_clause_131_7de76019","Asegurar que los objetivos sean medibles.","","6.2.2","A58"
"cybersecurity_requirement_968_4f355818","6_planning","cybersecurity_clause_131_7de76019","Planificar los objetivos considerando: Responsables, Plazos, Métodos de evaluación","","6.2.3","A59"
"cybersecurity_requirement_969_c4be461d","6_planning","cybersecurity_clause_131_7de76019","Integrar los objetivos en los procesos de la organización.","","6.2.4","A60"
"cybersecurity_requirement_984_e300091a","7_support","cybersecurity_clause_133_57550522","Determinar y proporcionar los recursos necesarios para el SGSI.","","7.1.1","A64"
"cybersecurity_requirement_1001_19402d0d","7_support","cybersecurity_clause_134_0fdb0e5a","Determinar la competencia necesaria del personal que afecta la seguridad de la información.","","7.2.1","A67"
"cybersecurity_requirement_1002_585151e8","7_support","cybersecurity_clause_134_0fdb0e5a","Asegurar y mantener la competencia del personal.","","7.2.2","68"
"cybersecurity_requirement_1003_ccba7df5","7_support","cybersecurity_clause_134_0fdb0e5a","Mantener información documentada como evidencia.","","7.2.3","A69"
"cybersecurity_requirement_1005_eb08bbfc","7_support","cybersecurity_clause_135_73f5f9d2","Asegurar que el personal sea consciente de su rol en la seguridad de la información.","","7.3.1","A72"
"cybersecurity_requirement_1006_10446cb4","7_support","cybersecurity_clause_135_73f5f9d2","Asegurar que el personal conozca los riesgos y consecuencias de incumplimiento.","","7.3.2","A73"
"cybersecurity_requirement_1009_52e55301","7_support","cybersecurity_clause_136_86cd5226","Determinar las comunicaciones internas y externas del SGSI.","","7.4.1","A76"
"cybersecurity_requirement_1010_1bdee0e3","7_support","cybersecurity_clause_136_86cd5226","Establecer mecanismos para reportar incidentes o debilidades de seguridad.","","7.4.2","A77"
"cybersecurity_requirement_1014_08dcc962","7_support","cybersecurity_clause_137_b1d9ed7f","Mantener la documentación requerida por la norma y la organización.","","7.5.1","A80"
"cybersecurity_requirement_1015_d3cc901b","7_support","cybersecurity_clause_137_b1d9ed7f","Incluir: política, alcance, procesos y registros del SGSI.","","7.5.2","A81"
"cybersecurity_requirement_1016_67fe25a7","7_support","cybersecurity_clause_137_b1d9ed7f","Establecer controles documentales para: Aprobación, revisión, distribución, almacenamiento","","7.5.3","82"
"cybersecurity_requirement_1017_c16cf68c","7_support","cybersecurity_clause_137_b1d9ed7f","Controlar documentos de origen externo.","","7.5.4","A83"
"cybersecurity_requirement_1027_d6028178","8_operation","cybersecurity_clause_140_9dfe8373","Planificar y controlar los procesos del SGSI.","","8.1.1","A87"
"cybersecurity_requirement_1028_3ecf6328","8_operation","cybersecurity_clause_140_9dfe8373","Evaluar riesgos antes de realizar cambios.","","8.1.2","A88"
"cybersecurity_requirement_1029_9628e55e","8_operation","cybersecurity_clause_140_9dfe8373","Implementar controles para mitigar riesgos derivados de cambios.","","8.1.3","A89"
"cybersecurity_requirement_1030_14e826fe","8_operation","cybersecurity_clause_140_9dfe8373","Controlar procesos externalizados.","","8.1.4","A90"
"cybersecurity_requirement_1038_5111499a","8_operation","cybersecurity_clause_141_18b81015","Establecer un proceso documentado de análisis de riesgos que considere: Propietario del riesgo, Impacto, Probabilidad","","8.2.1","A93"
"cybersecurity_requirement_1058_e4c2d116","8_operation","cybersecurity_clause_142_56a0db9b","Implementar un plan de tratamiento de riesgos.","","8.3.1","A96"
"cybersecurity_requirement_1059_8820d844","8_operation","cybersecurity_clause_142_56a0db9b","Asegurar la aprobación por los responsables del riesgo.","","8.3.2","A97"
"cybersecurity_requirement_1060_5fe266f5","8_operation","cybersecurity_clause_142_56a0db9b","Documentar los controles aplicables.","","8.3.3","A98"
"cybersecurity_requirement_1061_dc0ed607","8_operation","cybersecurity_clause_142_56a0db9b","Justificar la selección de controles.","","8.3.4","A99"
"cybersecurity_requirement_1154_186bf315","9_evaluation","cybersecurity_clause_147_661374fd","Realizar seguimiento continuo de la seguridad de la información.","","9.1.1","A103"
"cybersecurity_requirement_1155_49c5cbaa","9_evaluation","cybersecurity_clause_147_661374fd","Evaluar resultados y asegurar su uso en la toma de decisiones.","","9.1.2","A104"
"cybersecurity_requirement_1156_bbec0b25","9_evaluation","cybersecurity_clause_147_661374fd","Mantener evidencia documentada.","","9.1.3","A105"
"cybersecurity_requirement_1170_87a69dae","9_evaluation","cybersecurity_clause_148_ed19016b","Establecer un programa de auditoría interna.","","9.2.1","A108"
"cybersecurity_requirement_1171_e5406aa9","9_evaluation","cybersecurity_clause_148_ed19016b","Definir alcance, criterios y responsables.","","9.2.1","A109"
"cybersecurity_requirement_1172_1331f24e","9_evaluation","cybersecurity_clause_148_ed19016b","Incluir acciones correctivas en los resultados.","","9.2.3","A110"
"cybersecurity_requirement_1180_0ae423ba","9_evaluation","cybersecurity_clause_149_e35738b1","Revisar el SGSI a intervalos planificados.","","9.3.1","A113"
